"","hosts","hostclean","group"
"579","Pleuronectes platessa","Pleuronectes platessa",NA
"580","Pleuronectes putnami","Pleuronectes putnami",NA
"581","Podothecus acipenserinus","Podothecus acipenserinus",NA
"582","Pollachius virens","Pollachius virens",NA
"583","Pomatoschistus microps","Pomatoschistus microps",NA
"584","Pontoporeia femorata","Pontoporeia femorata",NA
"585","Psetta maxima","Psetta maxima",NA
"586","Raja radiata","Raja radiata",NA
"587","Salvelinus alpinus","Salvelinus alpinus",NA
"588","Salvelinus fontinalis","Salvelinus fontinalis",NA
"589","Salvelinus malma","Salvelinus malma",NA
"590","Salvelinus namaycush","Salvelinus namaycush",NA
"591","Scophthalmus rhombus","Scophthalmus rhombus",NA
"592","Sebastes aleutianus","Sebastes aleutianus",NA
"593","Sebastes alutus","Sebastes alutus",NA
"594","Sebastes babcocki","Sebastes babcocki",NA
"595","Sebastes caurinus","Sebastes caurinus",NA
"596","Sebastes diploproa","Sebastes diploproa",NA
"597","Sebastes fasciatus","Sebastes fasciatus",NA
"598","Sebastes flavidus","Sebastes flavidus",NA
"599","Sebastes helvomaculatus","Sebastes helvomaculatus",NA
"600","Sebastes proriger","Sebastes proriger",NA
"601","Sebastes ruberrimus","Sebastes ruberrimus",NA
"602","Sebastes zacentrus","Sebastes zacentrus",NA
"603","Stizostedion lucioperca","Stizostedion lucioperca",NA
"604","Taurulus bubalis","Taurulus bubalis",NA
"605","Theragra chalcogramma","Theragra chalcogramma",NA
"606","Trachyrhynchus trachyrhynchus","Trachyrhynchus trachyrhynchus",NA
"607","Urophycis chuss","Urophycis chuss",NA
"608","Urophycis tenuis","Urophycis tenuis",NA
"609","Macrourus carinatus","Macrourus carinatus",NA
"610","Macrourus holotrachys","Macrourus holotrachys",NA
"611","Melanogloea ventralis","Melanogloea ventralis",NA
"612","Cryodraco antarcticus","Cryodraco antarcticus",NA
"613","Nototheniops nybelini","Nototheniops nybelini",NA
"614","Solea impar","Solea impar",NA
"615","Gammarus duebeni","Gammarus duebeni",NA
"616","Pontoporeia affinis","Pontoporeia affinis",NA
"617","Sciaena aquila","Sciaena aquila",NA
"618","Trachyrhynchus murrayi","Trachyrhynchus murrayi",NA
"619","Trachyrhynchus scabrus","Trachyrhynchus scabrus",NA
"620","Coelorhinchus fasciatus","Coelorhinchus fasciatus",NA
"621","Kyphosus sectatrix","Kyphosus sectatrix",NA
"622","Liza saliens","Liza saliens",NA
"623","Mugil cephalus","Mugil cephalus",NA
"624","Mugil curema","Mugil curema",NA
"625","Mugil platanus","Mugil platanus",NA
"626","Blennius pavo","Blennius pavo",NA
"627","Blennius tentacularis","Blennius tentacularis",NA
"628","Crenilabrus ocellatus","Crenilabrus ocellatus",NA
"629","Crenilabrus quinquemaculatus","Crenilabrus quinquemaculatus",NA
"630","Gammarus olivii","Gammarus olivii",NA
"631","Lepadogaster lepadogaster","Lepadogaster lepadogaster",NA
"632","Scomber japonicus","Scomber japonicus",NA
"633","Caranx hippos","Caranx hippos",NA
"634","Caranx latus","Caranx latus",NA
"635","Lutjanus griseus","Lutjanus griseus",NA
"636","Caranx chrysos","Caranx chrysos",NA
"637","Caranx crysos","Caranx crysos",NA
"638","Caranx ruber","Caranx ruber",NA
"639","Seriola dumerili","Seriola dumerili",NA
"640","Seriola rivoliana","Seriola rivoliana",NA
"641","Seriola lalandi","Seriola lalandi",NA
"642","Trachinotus falcatus","Trachinotus falcatus",NA
"643","Ariopsis assimilis","Ariopsis assimilis",NA
"644","Lutjanus jocu","Lutjanus jocu",NA
"645","Epinephelus morio","Epinephelus morio",NA
"646","Paralabrax humeralis","Paralabrax humeralis",NA
"647","Arius felis","Arius felis",NA
"648","Cathorops melanopus","Cathorops melanopus",NA
"649","Mycteroperca venenosa","Mycteroperca venenosa",NA
"650","Gempylus serpens","Gempylus serpens",NA
"651","Dorosoma cepedianum","Dorosoma cepedianum",NA
"652","Eleginops maclovinus","Eleginops maclovinus",NA
"653","Acipenser gueldenstaedti","Acipenser gueldenstaedti",NA
"654","Acipenser persicus","Acipenser persicus",NA
"655","Acipenser stellatus","Acipenser stellatus",NA
"656","Gymnothorax ocellatus","Gymnothorax ocellatus",NA
"657","Malacocephalus laevis","Malacocephalus laevis",NA
"658","Chelon labrosus","Chelon labrosus",NA
"659","Mugil soiuy","Mugil soiuy",NA
"660","Fundulus majalis","Fundulus majalis",NA
"661","Jordanella floridae","Jordanella floridae",NA
"662","Lucania parva","Lucania parva",NA
"663","Achirus mazatlanus","Achirus mazatlanus",NA
"664","Pungitius pungitius","Pungitius pungitius",NA
"665","Sthenoteuthis pteropus","Sthenoteuthis pteropus",NA
"666","Myctophum affine","Myctophum affine",NA
"667","Myctophum nitidulum","Myctophum nitidulum",NA
"668","Scorpaena laevis","Scorpaena laevis",NA
"669","Umbrina steindachneri","Umbrina steindachneri",NA
"670","Fundulus diaphanus","Fundulus diaphanus",NA
"671","Fundulus heteroclitus","Fundulus heteroclitus",NA
"672","Gammarus mucronatus","Gammarus mucronatus",NA
"673","Melanitta fusca","Melanitta fusca",NA
"674","Melanitta nigra","Melanitta nigra",NA
"675","Sympterygia bonapartei","Sympterygia bonapartei",NA
"676","Larus argentatus","Larus argentatus",NA
"677","Somateria mollissima","Somateria mollissima",NA
"678","Ardea herodias","Ardea herodias",NA
"679","Carcinus maenas","Carcinus maenas",NA
"680","Amia calva","Amia calva",NA
"681","Roccus lineatus","Roccus lineatus",NA
"682","Belone belone","Belone belone",NA
"683","Strongylura marina","Strongylura marina",NA
"684","Gammarus tigrinus","Gammarus tigrinus",NA
"685","Merluccius bilinearis","Merluccius bilinearis",NA
"686","Micropterus salmoides","Micropterus salmoides",NA
"687","Necora puber","Necora puber",NA
"688","Armadillidium vulgare","Armadillidium vulgare",NA
"689","Sturnus unicolor","Sturnus unicolor",NA
"690","Turdus merula","Turdus merula",NA
"691","Chromis multilineata","Chromis multilineata",NA
"692","Auxis rochei","Auxis rochei",NA
"693","Alectis alexandrinus","Alectis alexandrinus",NA
"694","Argyrosomus regius","Argyrosomus regius",NA
"695","Auxis thazard","Auxis thazard",NA
"696","Boops boops","Boops boops",NA
"697","Brama raii","Brama raii",NA
"698","Brotula barbata","Brotula barbata",NA
"699","Coryphaena equiselis","Coryphaena equiselis",NA
