"Parasite.species","Parasite.genus","Parasite.group","Host.species","Host.no","Stage","Egg.hatch","Development.time","Temp","Development.remarks","Length","Width","Max.length","Max.width","n","Size.reported.as","Shape","Asexual","Sex","Size.remarks","Author","Year","Journal","Volume","Pages"
"Toxascaris leonina","Toxascaris","nematode","Canis familiaris",2,"adult",NA,55,38.5,"avg for 6 dogs infected with larvae from rabbits; range from 46 to 72 dpi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Matoff and Wassileff","1958","Parasitol. Res.","18","271-291"
"Toxascaris leonina","Toxascaris","nematode","Canis familiaris",2,"adult",NA,63,38.5,"avg for 2 dogs infected with eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Matoff and Wassileff","1958","Parasitol. Res.","18","271-291"
"Toxascaris leonina","Toxascaris","nematode","Canis familiaris",2,"adult",NA,NA,NA,NA,62.6,0.912,NA,NA,20,"avg","thread-like",NA,"m",NA,"Okoshi and Usui","1967","Jpn. J. Vet. Sci.","29","329-336"
"Toxascaris leonina","Toxascaris","nematode","Canis familiaris",2,"adult",NA,NA,NA,NA,80.5,1.07,NA,NA,20,"avg","thread-like",NA,"f",NA,"Okoshi and Usui","1967","Jpn. J. Vet. Sci.","29","329-336"
"Toxascaris leonina","Toxascaris","nematode","Felis catus",2,"adult",NA,NA,NA,NA,46.4,0.579,NA,NA,20,"avg","thread-like",NA,"m",NA,"Okoshi and Usui","1967","Jpn. J. Vet. Sci.","29","329-336"
"Toxascaris leonina","Toxascaris","nematode","Felis catus",2,"adult",NA,NA,NA,NA,60.9,0.66,NA,NA,20,"avg","thread-like",NA,"f",NA,"Okoshi and Usui","1967","Jpn. J. Vet. Sci.","29","329-336"
"Toxascaris leonina","Toxascaris","nematode","Panthera tigris",2,"adult",NA,NA,NA,NA,48.7,0.707,NA,NA,10,"avg","thread-like",NA,"m",NA,"Okoshi and Usui","1967","Jpn. J. Vet. Sci.","29","329-336"
"Toxascaris leonina","Toxascaris","nematode","Panthera tigris",2,"adult",NA,NA,NA,NA,72.7,0.84,NA,NA,20,"avg","thread-like",NA,"f",NA,"Okoshi and Usui","1967","Jpn. J. Vet. Sci.","29","329-336"
"Toxascaris leonina","Toxascaris","nematode","Acinonyx jubatus",2,"adult",NA,NA,NA,NA,44.9,0.61,NA,NA,20,"avg","thread-like",NA,"m",NA,"Okoshi and Usui","1967","Jpn. J. Vet. Sci.","29","329-336"
"Toxascaris leonina","Toxascaris","nematode","Acinonyx jubatus",2,"adult",NA,NA,NA,NA,64.1,0.73,NA,NA,20,"avg","thread-like",NA,"f",NA,"Okoshi and Usui","1967","Jpn. J. Vet. Sci.","29","329-336"
"Toxascaris leonina","Toxascaris","nematode","Canis familiaris",2,"adult",NA,60.5,38.5,"for 33 infected dogs, ranged from 48 to 77 days, but most between 56 and 65 dpi; canine strain; remained patent for 5 to 10 months in average case",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Okoshi and Usui","1968","Jpn. J. Vet. Sci.","30","81-91"
"Toxascaris leonina","Toxascaris","nematode","Felis catus",2,"adult",NA,62.33333333,38.5,"for 3 cats infected with feline strain; this strain also infected dogs and might even develop faster in dogs (prepatent period 50 days, but this was just one infected dog)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Okoshi and Usui","1968","Jpn. J. Vet. Sci.","30","81-91"
"Toxascaris leonina","Toxascaris","nematode","Panthera leo",2,"adult",NA,NA,NA,NA,53,NA,58,NA,3,"avg","thread-like",NA,"f",NA,"Seurat and Neuville","1913","Bull. Mus. Natn. Hist. Nat. Paris","19","16-21"
"Toxascaris leonina","Toxascaris","nematode","Felis catus",2,"adult",NA,74,38.5,"just one cat that was infected with eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sprent","1959","Parasitology","49","330-371"
"Toxascaris leonina","Toxascaris","nematode","Canis familiaris",2,"adult",NA,56,38.5,"just one dog that was infected with mouse tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sprent","1959","Parasitology","49","330-371"
"Toxocara canis","Toxocara","nematode",NA,0,"egg","eaten",NA,NA,NA,0.086,0.0748,NA,NA,NA,"avg","ellipsoid",NA,NA,NA,"Fahrion et al.","2011","Vet. Parasitol.","177","186-189"
"Toxocara canis","Toxocara","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0885,NA,0.107,NA,NA,"range","ellipsoid",NA,NA,NA,"Lucius et al.","1988","Z. Jagdwiss.","34","242-255"
"Toxocara canis","Toxocara","nematode",NA,0,"egg","eaten",9,28,"time to embryonate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schacher","1957","J. Parasitol.","43","599-612"
"Toxocara canis","Toxocara","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0814,0.0712,0.0912,0.079,NA,"range","ellipsoid",NA,NA,NA,"Uga et al.","2000","Vet. Parasitol.","92","287-294"
"Toxocara canis","Toxocara","nematode",NA,0,"egg","eaten",26.5,22,"time to embryonate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warren","1970","Parasitology","60","239-253"
"Toxocara canis","Toxocara","nematode",NA,0,"embryo",NA,NA,NA,"free L3",0.404,0.018,0.434,NA,150,"avg","thread-like",NA,NA,NA,"Nichols","1956","J. Parasitol.","42","349-362"
"Toxocara canis","Toxocara","nematode",NA,0,"embryo",NA,NA,NA,"free L3",0.385,0.019,0.532,0.021,25,"avg","thread-like",NA,NA,NA,"Schacher","1957","J. Parasitol.","43","599-612"
"Toxocara canis","Toxocara","nematode",NA,0,"embryo",NA,NA,NA,"free L3",0.389,0.019,NA,NA,NA,"avg","thread-like",NA,NA,"removed from eggs","Sprent","1958","Parasitology","48","184-208"
"Toxocara canis","Toxocara","nematode","Mus musculus",1,"1larv",NA,NA,NA,NA,0.410139738,0.01849345,0.445,NA,229,"avg","thread-like",NA,NA,"weighted average across tissue types","Nichols","1956","J. Parasitol.","42","349-362"
"Toxocara canis","Toxocara","nematode","Mus musculus",1,"1larv",NA,NA,NA,NA,0.429,NA,NA,NA,10,"avg","thread-like",NA,NA,"two months post infection","Okoshi and Usui","1968","Jpn. J. Vet. Sci.","30","151-166"
"Toxocara canis","Toxocara","nematode","Gallus gallus",1,"1larv",NA,NA,NA,NA,0.461,NA,0.47,NA,10,"avg","thread-like",NA,NA,"three months post infection","Okoshi and Usui","1968","Jpn. J. Vet. Sci.","30","151-166"
"Toxocara canis","Toxocara","nematode","Meriones unguiculatus",1,"1larv",NA,NA,NA,NA,0.37,0.021,0.4,0.027,7,"avg","thread-like",NA,NA,"at 93 dpi","Sato et al.","2004","J. Parasitol.","90","774-781"
"Toxocara canis","Toxocara","nematode","Canis familiaris",2,"adult",NA,33.22727273,38.5,"infected 22 puppies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dubey","1978","J. Parasitol.","64","1021-1023"
"Toxocara canis","Toxocara","nematode","Canis familiaris",2,"adult",NA,49,38.5,"adult dogs infected with eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fahrion et al.","2008","Vet. Parasitol.","152","108-115"
"Toxocara canis","Toxocara","nematode","Canis familiaris",2,"adult",NA,41,38.5,"adult dogs infected with mice tissue; cites Herschel 1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fahrion et al.","2008","Vet. Parasitol.","152","108-115"
"Toxocara canis","Toxocara","nematode",NA,2,"adult",NA,NA,NA,NA,75,NA,100,NA,NA,"range","thread-like",NA,"m",NA,"Hall et al.","1934","US Dept. Agric. Circular","338","1-35"
"Toxocara canis","Toxocara","nematode",NA,2,"adult",NA,NA,NA,NA,120,2,180,NA,NA,"range","thread-like",NA,"f",NA,"Hall et al.","1934","US Dept. Agric. Circular","338","1-35"
"Toxocara canis","Toxocara","nematode","Vulpes vulpes",2,"adult",NA,NA,NA,NA,62.5,NA,100,NA,NA,"range","thread-like",NA,"m",NA,"Lucius et al.","1988","Z. Jagdwiss.","34","242-255"
"Toxocara canis","Toxocara","nematode","Vulpes vulpes",2,"adult",NA,NA,NA,NA,92.5,NA,125,NA,NA,"range","thread-like",NA,"f",NA,"Lucius et al.","1988","Z. Jagdwiss.","34","242-255"
"Toxocara canis","Toxocara","nematode","Canis familiaris",2,"adult",NA,NA,NA,NA,64,1.26,73,1.3,7,"avg","thread-like",NA,"m",NA,"Radwan et al.","2009","Comp. Parasitol.","76","273-282"
"Toxocara canis","Toxocara","nematode","Canis familiaris",2,"adult",NA,NA,NA,NA,84.6,1.7,86,1.78,7,"avg","thread-like",NA,"f",NA,"Radwan et al.","2009","Comp. Parasitol.","76","273-282"
"Toxocara canis","Toxocara","nematode","Vulpes vulpes",2,"adult",NA,NA,NA,NA,44.6,0.39,48,0.4,7,"avg","thread-like",NA,"m",NA,"Radwan et al.","2009","Comp. Parasitol.","76","273-282"
"Toxocara canis","Toxocara","nematode","Vulpes vulpes",2,"adult",NA,NA,NA,NA,77,0.8,80,0.8,7,"avg","thread-like",NA,"f",NA,"Radwan et al.","2009","Comp. Parasitol.","76","273-282"
"Toxocara canis","Toxocara","nematode","Canis lupus",2,"adult",NA,NA,NA,NA,52.4,0.49,55.5,0.52,7,"avg","thread-like",NA,"m",NA,"Radwan et al.","2009","Comp. Parasitol.","76","273-282"
"Toxocara canis","Toxocara","nematode","Canis lupus",2,"adult",NA,NA,NA,NA,73,0.71,NA,0.72,7,"avg","thread-like",NA,"f",NA,"Radwan et al.","2009","Comp. Parasitol.","76","273-282"
"Toxocara canis","Toxocara","nematode","Herpestes ichneumon",2,"adult",NA,NA,NA,NA,56.4,0.79,59,0.8,7,"avg","thread-like",NA,"m",NA,"Radwan et al.","2009","Comp. Parasitol.","76","273-282"
"Toxocara canis","Toxocara","nematode","Herpestes ichneumon",2,"adult",NA,NA,NA,NA,79,1.6,82,1.7,7,"avg","thread-like",NA,"f",NA,"Radwan et al.","2009","Comp. Parasitol.","76","273-282"
"Toxocara canis","Toxocara","nematode","Vulpes vulpes",2,"adult",NA,NA,NA,NA,71,NA,99,NA,NA,"range","thread-like",NA,"m",NA,"Saeed et al.","2005","Parasitol. Res.","97","160-166"
"Toxocara canis","Toxocara","nematode","Vulpes vulpes",2,"adult",NA,37,38.5,NA,134,NA,184,NA,NA,"range","thread-like",NA,"f",NA,"Saeed et al.","2005","Parasitol. Res.","97","160-166"
"Toxocara cati","Toxocara","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0727,0.0623,NA,NA,NA,"avg","ellipsoid",NA,NA,NA,"Fahrion et al.","2011","Vet. Parasitol.","177","186-189"
"Toxocara cati","Toxocara","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0759,0.0633,0.0881,0.0733,NA,"range","ellipsoid",NA,NA,NA,"Uga et al.","2000","Vet. Parasitol.","92","287-294"
"Toxocara cati","Toxocara","nematode",NA,0,"embryo",NA,NA,NA,"free L3",0.404,0.016,NA,NA,131,"avg","thread-like",NA,NA,NA,"Nichols","1956","J. Parasitol.","42","349-362"
"Toxocara cati","Toxocara","nematode",NA,0,"embryo",NA,NA,NA,"free L3",0.369,0.015,0.423,NA,NA,"avg","thread-like",NA,NA,NA,"Sprent","1956","Parasitology","46","54-78"
"Toxocara cati","Toxocara","nematode","Mus musculus",1,"1larv",NA,NA,NA,NA,0.409064677,0.016,NA,NA,201,"avg","thread-like",NA,NA,"weighted average across tissue types","Nichols","1956","J. Parasitol.","42","349-362"
"Toxocara cati","Toxocara","nematode","Mus musculus",1,"1larv",NA,NA,NA,NA,0.392,NA,0.435,NA,10,"avg","thread-like",NA,NA,"two months post infection","Okoshi and Usui","1968","Jpn. J. Vet. Sci.","30","151-166"
"Toxocara cati","Toxocara","nematode","Gallus gallus",1,"1larv",NA,NA,NA,NA,0.431,NA,0.444,NA,10,"avg","thread-like",NA,NA,"three months post infection","Okoshi and Usui","1968","Jpn. J. Vet. Sci.","30","151-166"
"Toxocara cati","Toxocara","nematode","Mus musculus",1,"1larv",NA,NA,NA,NA,0.419,NA,0.453,NA,NA,"avg","thread-like",NA,NA,"13 dpi; Tbl 3","Sprent","1956","Parasitology","46","54-78"
"Toxocara cati","Toxocara","nematode","Felis catus",2,"adult",NA,50.66666667,38.5,"from transmammary transmission, so these are days post partution that 3 kittens became patent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coati et al.","2004","Parasitol. Res.","92","142-146"
"Toxocara cati","Toxocara","nematode","Felis catus",2,"adult",NA,NA,NA,NA,55.6,0.39,59,0.43,7,"avg","thread-like",NA,"m",NA,"Radwan et al.","2009","Comp. Parasitol.","76","273-282"
"Toxocara cati","Toxocara","nematode","Felis catus",2,"adult",NA,NA,NA,NA,76,0.7,NA,0.8,7,"avg","thread-like",NA,"f",NA,"Radwan et al.","2009","Comp. Parasitol.","76","273-282"
"Toxocara cati","Toxocara","nematode","Felis catus",2,"adult",NA,56,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sprent","1956","Parasitology","46","54-78"
"Toxocara mackerrasae","Toxocara","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0805,0.0715,0.085,0.076,NA,"range","ellipsoid",NA,NA,NA,"Sprent","1957","Parasitology","47","350-360"
"Toxocara mackerrasae","Toxocara","nematode",NA,0,"egg","eaten",77.5,22,"time to embryonate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warren","1970","Parasitology","60","239-253"
"Toxocara mackerrasae","Toxocara","nematode",NA,0,"embryo",NA,NA,NA,"free L3",0.4845,0.0185,0.576,0.021,NA,"range","thread-like",NA,NA,NA,"Warren","1970","Parasitology","60","239-253"
"Toxocara mackerrasae","Toxocara","nematode","Rattus fuscipes",1,"adult",NA,NA,NA,NA,45,0.662,55,NA,NA,"range","thread-like",NA,"m","width is from type specimen","Sprent","1957","Parasitology","47","350-360"
"Toxocara mackerrasae","Toxocara","nematode","Rattus fuscipes",1,"adult",NA,NA,NA,NA,51,0.96,62,NA,NA,"range","thread-like",NA,"f","width is from type specimen","Sprent","1957","Parasitology","47","350-360"
"Toxocara pteropodis","Toxocara","nematode",NA,0,"egg","eaten",NA,NA,NA,0.1,NA,0.112,NA,NA,"range","ellipsoid",NA,NA,NA,"Baylis","1936","Ann. Mag. Nat. Hist.","17","360-365"
"Toxocara pteropodis","Toxocara","nematode",NA,0,"egg","eaten",10,23,"time to embryonate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prociv","1983","Parasitol. Res.","69","773-781"
"Toxocara pteropodis","Toxocara","nematode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toxocara pteropodis","Toxocara","nematode","Pteropus tonganus",1,"adult",NA,NA,NA,NA,75,1.65,80,1.8,NA,"range","thread-like",NA,"m",NA,"Baylis","1936","Ann. Mag. Nat. Hist.","17","360-365"
"Toxocara pteropodis","Toxocara","nematode","Pteropus tonganus",1,"adult",NA,NA,NA,NA,105,2.5,120,NA,NA,"range","thread-like",NA,"f",NA,"Baylis","1936","Ann. Mag. Nat. Hist.","17","360-365"
"Toxocara pteropodis","Toxocara","nematode","Pteropus poliocephalus",1,"adult",NA,NA,NA,NA,78.5,1.945,96,2.19,5,"avg","thread-like",NA,"m","3 months pi; width given as range","Prociv","1983","Parasitol. Res.","69","773-781"
"Toxocara pteropodis","Toxocara","nematode","Pteropus poliocephalus",1,"adult",NA,NA,NA,NA,117,1.395,128,1.66,7,"avg","thread-like",NA,"f","3 months pi; width given as range","Prociv","1983","Parasitol. Res.","69","773-781"
"Toxocara pteropodis","Toxocara","nematode","Pteropus poliocephalus",1,"adult",NA,41.5,38.5,"eggs first detected 35 to 48 days post partum; assumes that transmission occurs immediately with birth via lactation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prociv","1989","Int. J. Parasitol.","19","441-443"
"Toxocara vitulorum","Toxocara","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0775,NA,0.08,NA,NA,"range","ellipsoid",NA,NA,"as Ascaris vitulorum","Ransom","1911","US Dept. Agric. Tech. Bull.","127","1-132"
"Toxocara vitulorum","Toxocara","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0816,0.0718,0.0923,0.0802,NA,"avg","ellipsoid",NA,NA,NA,"Taira and Fujita","1991","J. Vet. Med. Sci.","53","409-413"
"Toxocara vitulorum","Toxocara","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0875,0.0725,0.095,0.075,NA,"range","ellipsoid",NA,NA,"cites Boulenger 1922","Taira and Fujita","1991","J. Vet. Med. Sci.","53","409-413"
"Toxocara vitulorum","Toxocara","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0875,0.0675,0.1,0.075,NA,"range","ellipsoid",NA,NA,"cites Wang 1973","Taira and Fujita","1991","J. Vet. Med. Sci.","53","409-413"
"Toxocara vitulorum","Toxocara","nematode",NA,0,"egg","eaten",50,22,"time to embryonate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Warren","1971","Int. J. Parasitol.","1","85-99"
"Toxocara vitulorum","Toxocara","nematode",NA,0,"embryo",NA,NA,NA,"free L3",0.3715,0.019,0.398,0.023,NA,"range","thread-like",NA,NA,"removed from eggs","Warren","1971","Int. J. Parasitol.","1","85-99"
"Toxocara vitulorum","Toxocara","nematode","Bos taurus",1,"adult",NA,NA,NA,NA,200,3,250,NA,NA,"range","thread-like",NA,"m","as Ascaris vitulorum","Ransom","1911","US Dept. Agric. Tech. Bull.","127","1-132"
"Toxocara vitulorum","Toxocara","nematode","Bos taurus",1,"adult",NA,NA,NA,NA,260,5,300,NA,NA,"range","thread-like",NA,"f","as Ascaris vitulorum","Ransom","1911","US Dept. Agric. Tech. Bull.","127","1-132"
"Toxocara vitulorum","Toxocara","nematode","Bubalus bubalis",1,"adult",NA,22.3,38.5,"average days post partum of egg appearance for 36 calves",241,NA,310,NA,NA,"avg","thread-like",NA,"f","maximum is the largest mean size recorded in an infrapopulations; presumably some individuals were larger than this","Roberts","1990","Vet. Parasitol.","37","113-120"
"Toxocara vitulorum","Toxocara","nematode","Bubalus bubalis",1,"adult",NA,NA,NA,NA,173,NA,204,NA,NA,"avg","thread-like",NA,"m","maximum is the largest mean size recorded in an infrapopulations; presumably some individuals were larger than this","Roberts","1990","Vet. Parasitol.","37","113-120"
"Toxocara vitulorum","Toxocara","nematode","Bos taurus",1,"adult",NA,NA,NA,NA,156.4,3.9,180,4.1,7,"avg","thread-like",NA,"m",NA,"Taira and Fujita","1991","J. Vet. Med. Sci.","53","409-413"
"Toxocara vitulorum","Toxocara","nematode","Bos taurus",1,"adult",NA,NA,NA,NA,257.5,5.7,340,6.6,21,"avg","thread-like",NA,"f",NA,"Taira and Fujita","1991","J. Vet. Med. Sci.","53","409-413"
"Toxocara vitulorum","Toxocara","nematode","Bos taurus",1,"adult",NA,NA,NA,NA,192.5,4.5,210,5,NA,"range","thread-like",NA,"m","cites Boulenger 1922","Taira and Fujita","1991","J. Vet. Med. Sci.","53","409-413"
"Toxocara vitulorum","Toxocara","nematode","Bos taurus",1,"adult",NA,NA,NA,NA,240,6,270,NA,NA,"range","thread-like",NA,"f","cites Boulenger 1922","Taira and Fujita","1991","J. Vet. Med. Sci.","53","409-413"
"Toxocara vitulorum","Toxocara","nematode","Bos taurus",1,"adult",NA,NA,NA,NA,189,3,NA,NA,NA,"point","thread-like",NA,"m","cites Wang 1973","Taira and Fujita","1991","J. Vet. Med. Sci.","53","409-413"
"Toxocara vitulorum","Toxocara","nematode","Bos taurus",1,"adult",NA,NA,NA,NA,253,5.5,NA,NA,NA,"point","thread-like",NA,"f","cites Wang 1973","Taira and Fujita","1991","J. Vet. Med. Sci.","53","409-413"
"Toxocara vitulorum","Toxocara","nematode","Bos taurus",1,"adult",NA,NA,NA,NA,127.75,1.17,154,1.38,23,"range","thread-like",NA,"m","30 days post partum","Warren","1971","Int. J. Parasitol.","1","85-99"
"Toxocara vitulorum","Toxocara","nematode","Bos taurus",1,"adult",NA,29,38.5,"eggs first detected 26 to 32 days post partum; assumes that transmission occurs immediately with birth via lactation",144,1.24,217,1.67,8,"range","thread-like",NA,"f","30 days post partum","Warren","1971","Int. J. Parasitol.","1","85-99"
"Travassosascaris araujoi","Travassosascaris","nematode",NA,0,"egg","eaten",7,20,"cites Araujo 1972; time to embryonate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anderson","2000","Nematode parasites of vertebrates: their development and transmission, CABI",NA,NA
"Travassosascaris araujoi","Travassosascaris","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0885,0.084,0.093,0.09,NA,"range","sphere",NA,NA,NA,"Sprent","1978","J. Helminthol.","52","355-384"
"Travassosascaris araujoi","Travassosascaris","nematode",NA,0,"embryo",NA,NA,NA,"free L3",0.458,NA,0.472,NA,NA,"range","thread-like",NA,NA,"cites Araujo 1972","Anderson","2000","Nematode parasites of vertebrates: their development and transmission, CABI",NA,NA
"Travassosascaris araujoi","Travassosascaris","nematode","Mus musculus",1,"1larv",NA,28,38.5,"cites Araujo 1972",4.9,NA,30.95,NA,NA,"point","thread-like",NA,NA,"infective to snakes after about 28 dpi but continue to grow; after a year they are 30 mm; sexes easy to differentiate, but they are similar in size; cites Araujo 1972","Anderson","2000","Nematode parasites of vertebrates: their development and transmission, CABI",NA,NA
"Travassosascaris araujoi","Travassosascaris","nematode",NA,2,"adult",NA,NA,NA,NA,69.5,1.345,95,2,14,"range","thread-like",NA,"m",NA,"Sprent","1978","J. Helminthol.","52","355-384"
"Travassosascaris araujoi","Travassosascaris","nematode",NA,2,"adult",NA,NA,NA,NA,127.5,1.85,149,2.1,7,"range","thread-like",NA,"f",NA,"Sprent","1978","J. Helminthol.","52","355-384"
"Triaenophorus crassus","Triaenophorus","cestode",NA,0,"egg","hatch, eaten",NA,NA,NA,0.058,0.04,0.064,0.044,NA,"avg","sphere",NA,NA,NA,"Ekbaum","1937","J. Parasitol.","23","293-295"
"Triaenophorus crassus","Triaenophorus","cestode",NA,0,"egg","hatch, eaten",NA,NA,NA,0.0576,0.0373,0.066,0.043,NA,"avg","sphere",NA,NA,"average across three samples from two lakes","Lawler and Watson","1963","J. Fish. Res. Bd. Can.","20","1089-1093"
"Triaenophorus crassus","Triaenophorus","cestode",NA,0,"egg","hatch, eaten",NA,NA,NA,0.061,0.041,0.068,0.044,NA,"avg","sphere",NA,NA,NA,"Miller","1943","Can. J. Res.","21","284-291"
"Triaenophorus crassus","Triaenophorus","cestode",NA,0,"free larva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triaenophorus crassus","Triaenophorus","cestode","Cyclops bicuspidatus",1,"1larv",NA,8,NA,NA,0.3,NA,0.352,NA,NA,"point","cylinder",NA,NA,NA,"Miller","1943","Can. J. Res.","21","284-291"
"Triaenophorus crassus","Triaenophorus","cestode","Cyclops strenuus",1,"1larv",NA,12,17,"showed how infectivity increases with procercoid age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulkkinen et al.","2000","J. Parasitol.","86","664-670"
"Triaenophorus crassus","Triaenophorus","cestode","Cyclops bicuspidatus",1,"1larv",NA,NA,NA,NA,0.141253754,0.056234133,NA,NA,NA,"fig","cylinder",NA,NA,"approximately 12 dpe; max from table 4","Rosen and Dick","1983","Can. J. Zool.","61","2120-2128"
"Triaenophorus crassus","Triaenophorus","cestode","Cyclops bicuspidatus",1,"1larv",NA,12,15,"by 12 days the majority are 'differentiated' (fig 5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"volumen given for proc size","Shostak et al.","1985","Can. J. Zool.","63","2343-2351"
"Triaenophorus crassus","Triaenophorus","cestode","Coregonus lavaretus",2,"2larv",NA,NA,NA,NA,6,1,NA,NA,NA,"point","ribbon",NA,NA,NA,"Joyeux and Baer","1936","Faune de France, Cestodes",NA,NA
"Triaenophorus crassus","Triaenophorus","cestode","Coregonus artedii",2,"2larv",NA,NA,NA,NA,NA,NA,300,1,NA,"point","ribbon",NA,NA,NA,"Miller","1945","Can. J. Res.","23","105-115"
"Triaenophorus crassus","Triaenophorus","cestode","Coregonus clupeaformis",2,"2larv",NA,80,16,"plerocercoid hooks observed 80 dpe at 16 C, but did not state that this is when they are infective",30,NA,155,NA,NA,"fig","ribbon",NA,NA,"max size was observed in a 3 year-old worm; avg size was taken as the inflection point in the logistic growth plot (fig1) at 60 dpe","Rosen and Dick","1984","Can. J. Zool.","62","203-211"
"Triaenophorus crassus","Triaenophorus","cestode","Esox lucius",3,"adult",NA,NA,NA,NA,340,NA,370,4.25,NA,"range","ribbon",NA,NA,NA,"Joyeux and Baer","1936","Faune de France, Cestodes",NA,NA
"Triaenophorus crassus","Triaenophorus","cestode","Esox lucius",3,"adult",NA,NA,NA,NA,265,3.1,400,4.2,NA,"range","ribbon",NA,NA,NA,"Miller","1943","Can. J. Res.","21","160-170"
"Triaenophorus nodulosus","Triaenophorus","cestode",NA,0,"egg","hatch, eaten",NA,NA,NA,0.05,0.03,NA,NA,NA,"point","sphere",NA,NA,NA,"Joyeux and Baer","1936","Faune de France, Cestodes",NA,NA
"Triaenophorus nodulosus","Triaenophorus","cestode",NA,0,"egg","hatch, eaten",NA,NA,NA,0.05655,0.03805,0.066,0.046,NA,"avg","sphere",NA,NA,"average across two samples from same lake (different years)","Lawler and Watson","1963","J. Fish. Res. Bd. Can.","20","1089-1093"
"Triaenophorus nodulosus","Triaenophorus","cestode",NA,0,"egg","hatch, eaten",NA,NA,NA,0.061,0.044,0.067,0.044,NA,"avg","sphere",NA,NA,NA,"Miller","1943","Can. J. Res.","21","284-291"
"Triaenophorus nodulosus","Triaenophorus","cestode",NA,0,"free larva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triaenophorus nodulosus","Triaenophorus","cestode","Cyclops strenuus",1,"1larv",NA,8,15.5,"cited in Dubinina 1980 p.102",0.7,NA,NA,NA,NA,"point","cylinder",NA,NA,"p.13, size at 9 dpe in a single infection; clear crowding effect","Michajlow","1953","Acta Parasitol.","1","1-28"
"Triaenophorus nodulosus","Triaenophorus","cestode","Perca fluviatilis",2,"2larv",NA,NA,NA,NA,46,NA,297,NA,64,"avg","ribbon",NA,NA,NA,"Brinker and Hamers","2007","J. Fish Biol.","71","129-147"
"Triaenophorus nodulosus","Triaenophorus","cestode",NA,2,"2larv",NA,NA,NA,NA,7.5,1,10,NA,NA,"range","ribbon",NA,NA,NA,"Joyeux and Baer","1936","Faune de France, Cestodes",NA,NA
"Triaenophorus nodulosus","Triaenophorus","cestode","Perca flavescens",2,"2larv",NA,NA,NA,NA,47,NA,75,NA,NA,"avg","ribbon",NA,NA,NA,"Lawler","1969","J. Fish. Res. Bd. Can.","26","821-831"
"Triaenophorus nodulosus","Triaenophorus","cestode",NA,2,"2larv",NA,NA,NA,NA,30.5,0.66,55,1,NA,"range","ribbon",NA,NA,NA,"Reimer","1970","Digene Trematoden und Cestoden der Ostseefische als naturliche Fischmarken. (Parasitologie Schriftenreihe, vol 20) Gustav Fischer, Jena",NA,NA
"Triaenophorus nodulosus","Triaenophorus","cestode","Esox lucius",3,"adult",NA,NA,NA,NA,NA,NA,285,NA,NA,"point","ribbon",NA,NA,NA,"Chubb","1963","Parasitology","53","419-433"
"Triaenophorus nodulosus","Triaenophorus","cestode","Esox lucius",3,"adult",NA,NA,NA,NA,240,3.25,300,4,NA,"range","ribbon",NA,NA,"as T. lucii","Joyeux and Baer","1936","Faune de France, Cestodes",NA,NA
