"","nameparse","yearone","hosts"
"669","Ancylostoma taxideae",1964,NA
"670","Ancylostoma trigonocephala",1907,NA
"671","Ancylostoma tubaeforme",1967,23
"672","Ancyracanthopsis bendelli",1951,NA
"673","Ancyracanthopsis coronata",1983,6
"674","Ancyracanthopsis schikhobalovi",1989,3
"675","Ancyracanthopsis winegardi",2004,10
"676","Ancyracanthus sp.",1901,NA
"677","Ancyrocephalus aculeatus",1931,NA
"678","Ancyrocephalus atherinae",1933,NA
"679","Ancyrocephalus balisticus",1954,NA
"680","Ancyrocephalus chaetodipteri",1946,NA
"681","Ancyrocephalus cornutus",1970,NA
"682","Ancyrocephalus cruciatus",1963,6
"683","Ancyrocephalus felis",1954,NA
"684","Ancyrocephalus lactophrys",1915,NA
"685","Ancyrocephalus n.sp.",1996,NA
"686","Ancyrocephalus ornatus",1963,NA
"687","Ancyrocephalus paradoxus",1968,9
"688","Ancyrocephalus parupenei",1963,NA
"689","Ancyrocephalus parvus",1911,1
"690","Ancyrocephalus pauu",1963,NA
"691","Ancyrocephalus similis",1915,4
"692","Ancyrocephalus sp.",1919,NA
"693","Ancyrocephalus spinicirrus",1985,3
"694","Ancyrocephalus spirae",1970,NA
"695","Ancyrocephalus teuthis",1914,NA
"696","Ancyrocephalus trullae",1971,NA
"697","Ancyrocephalus tylosuri",1916,NA
"698","Ancyrocotyle bartschi",1933,1
"699","Andocadoncum meganae",2010,NA
"700","Andracantha gravida",1970,6
"701","Andracantha mergi",1957,8
"702","Andracantha phalacrocoracis",1954,6
"703","Andracantha sp.",2009,NA
"704","Androcotyla arenariae",1969,1
"705","Andrya africana",1930,NA
"706","Andrya alternata",1994,NA
"707","Andrya americana",1887,1
"708","Andrya americanus",1894,NA
"709","Andrya arctica",1949,3
"710","Andrya bairdi",1952,1
"711","Andrya communis",1909,4
"712","Andrya macrocephala",1911,34
"713","Andrya microti",1946,9
"714","Andrya neotomae",1941,1
"715","Andrya ondatrae",1944,1
"716","Andrya primordialis",1911,1
"717","Andrya rhopalocephala",1880,4
"718","Andrya sciuri",1947,2
"719","Andrya sp.",1929,NA
"720","Andrya translucida",1911,NA
"721","Andycestus abyssmus",1948,NA
"722","Anenterotrema mesolecitha",1975,NA
"723","Angiocaulus gubernaculatus",1999,1
"724","Angiodictyum anteroporum",1993,NA
"725","Angiodictyum glossoides",1980,NA
"726","Angiodictyum longum",1979,NA
"727","Angiodictyum mooreae",1993,NA
"728","Angiodictyum parallelum",1901,NA
"729","Angionematobothrium jugulare",1964,3
"730","Angiostoma asperisae",1997,NA
"731","Angiostoma aspersae",1997,1
"732","Angiostoma carettae",2004,NA
"733","Angiostoma onychodactyla",1996,1
"734","Angiostoma plethodontis",1929,2
"735","Angiostoma sp.",1915,NA
"736","Angiostrongylus blarini",1952,1
"737","Angiostrongylus cantonensis",1955,71
"738","Angiostrongylus costaricensis",1969,38
"739","Angiostrongylus gubernaculatus",1944,2
"740","Angiostrongylus kratae",1972,NA
"741","Angiostrongylus michiganensis",1966,2
"742","Angiostrongylus putae",1932,NA
"743","Angiostrongylus sandarsae",1965,3
"744","Angiostrongylus schmidti",1970,1
"745","Angiostrongylus sp.",1965,NA
"746","Angiostrongylus vasorum",1963,10
"747","Anguillicola crassus",2007,108
"748","Anguillicola papernai",1984,1
"749","Anguillicoloides crassus",2014,32
"750","Anguillula aceti",1907,NA
"751","Anguillula radicola",1901,NA
"752","Anguillula vivipara",1904,NA
"753","Anguinoides stylosum",1934,NA
"754","Angularella audubonensis",1978,1
"755","Angularella beema",1948,4
"756","Angularella sp.",1962,NA
"757","Angularia nymphaea",1948,NA
"758","Angusticaecum brevispiculum",1923,NA
"759","Angusticaecum holoptera",1923,NA
"760","Angusticaecum sp.",1953,NA
"761","Anindobothrium anacolum",1975,1
"762","Anindobothrium lisae",1996,1
"763","Anisakis (Skrjabinisakis)",1937,NA
"764","Anisakis dussumierii",1939,2
"765","Anisakis insignis",1959,2
"766","Anisakis nudicauda",1964,NA
"767","Anisakis pegreffii",2008,41
"768","Anisakis physeteris",1995,39
"769","Anisakis rosmari",1938,NA
"770","Anisakis salaris",1940,1
"771","Anisakis similis",1933,1
"772","Anisakis simplex",1882,430
"773","Anisakis sp.",1887,NA
"774","Anisakis typica",1939,34
"775","Anisakis verrucosum",1950,NA
"776","Anisocladium fallax",1900,2
"777","Anisocladium gracile",1900,1
"778","Anisocoelium capitellatum",1900,3
"779","Anisocoelium hipoglossi",1913,NA
"780","Annulocystis auxis",1964,3
"781","Anoectostomum depressum",1900,NA
"782","Anomaloporus hesperiphonae",1951,1
"783","Anomaloporus lambi",1951,1
"784","Anomalotrema koiae",2003,10
"785","Anomotaenia aegyptica",1948,NA
"786","Anomotaenia arionis",1988,2
"787","Anomotaenia campylacantha",1934,NA
"788","Anomotaenia ciliata",1978,8
"789","Anomotaenia clavigera",1983,4
"790","Anomotaenia constricta",1893,9
"791","Anomotaenia dehiscens",1948,2
"792","Anomotaenia ericetorum",1997,6
"793","Anomotaenia filovata",1949,NA
"794","Anomotaenia gallinagilis",1983,1
"795","Anomotaenia hypoleuci",2003,2
"796","Anomotaenia larina",1950,1
"797","Anomotaenia micracantha",1950,8
"798","Anomotaenia microrhyncha",1988,18
"799","Anomotaenia multifilamenta",1996,1
"800","Anomotaenia mungosietidis",1912,NA
"801","Anomotaenia mutabilis",1954,NA
"802","Anomotaenia nymphaea",1948,11
"803","Anomotaenia skrjabini",1993,1
"804","Anomotaenia sp.",1909,NA
"805","Anomotaenia tundra",2001,NA
"806","Anonchohaptor anomalum",1937,NA
"807","Anonchohaptor lobatum",1985,NA
"808","Anonchohaptor muelleri",1967,1
"809","Anonchotaenia bazae",1914,NA
"810","Anonchotaenia gaugi",1960,NA
"811","Anonchotaenia globata",1893,41
"812","Anonchotaenia mexicana",1951,NA
"813","Anonchotaenia quiscali",1944,1
"814","Anonchotaenia ranae",1971,NA
"815","Anonchotaenia rostellata",2001,NA
"816","Anonchotaenia sbesteriometra",1928,NA
"817","Anonchotaenia sp.",1931,NA
"818","Anophryocephalus arcticensis",1993,2
"819","Anophryocephalus eumetopii",1951,1
"820","Anophryocephalus inuitorum",1992,1
"821","Anophryocephalus nunivakensis",1955,1
"822","Anophryocephalus ochotensis",1950,3
"823","Anophryocephalus skrjabini",1978,4
"824","Anophryocephalus sp.",1978,NA
"825","Anoplectanum haptorodynatum",2002,NA
"826","Anoplectanum microsoma",2002,NA
"827","Anoplocephala borealis",1911,NA
"828","Anoplocephala cubocephala",1913,NA
"829","Anoplocephala diminuta",1932,1
"830","Anoplocephala gigantea",1989,3
"831","Anoplocephala globocephala",1916,NA
"832","Anoplocephala infrequens",1911,2
"833","Anoplocephala magna",1915,6
"834","Anoplocephala mamillana",1882,3
"835","Anoplocephala perfoliata",1882,1
"836","Anoplocephala plicata",1907,1
"837","Anoplocephala sp.",1912,NA
"838","Anoplocephala spatula",1948,3
"839","Anoplocephala variabilis",1911,4
"840","Anoplocephala wimerosa",1886,3
"841","Anoplocephaloides baeri",1962,3
"842","Anoplocephaloides bulmeri",2004,NA
"843","Anoplocephaloides dentata",1975,19
"844","Anoplocephaloides indicata",1952,NA
"845","Anoplocephaloides kontrimavichusi",1965,NA
"846","Anoplocephaloides lemmi",1994,5
"847","Anoplocephaloides nordmanni",1985,NA
"848","Anoplocephaloides septemtrionalis",1984,NA
"849","Anoplocephaloides sp.",2003,NA
"850","Anoplocephaloides troeschi",1992,1
"851","Anoplocephaloides variabilis",1949,1
"852","Anoplodiscus cirrusspiralis",1980,5
"853","Anoplodiscus longivaginatus",2000,NA
"854","Anoplodium hymanae",1981,NA
"855","Anoplostrongylus bari",1971,NA
"856","Anoplostrongylus delicatus",1925,NA
"857","Anoplotaenia dasyuri",1958,12
"858","Anteropora cuba",2004,NA
"859","Anteropora glandapiculis",2002,NA
"860","Anteropora joannae",2002,NA
"861","Anteropora klosmamorphis",2004,NA
"862","Anteropora leelongi",1991,NA
"863","Anteropora patulobothridium",2008,NA
"864","Anteropora pumilionis",2003,NA
"865","Anteropora sp.",2003,NA
"866","Anthobothrium cairae",1906,NA
"867","Anthobothrium caseyi",1988,NA
"868","Anthobothrium cornucopia",1916,2
"869","Anthobothrium laciniatum",1889,1
"870","Anthobothrium lilliiformis",1916,NA
"871","Anthobothrium lyndoni",1996,NA
"872","Anthobothrium oligorchidum",1951,NA
"873","Anthobothrium pristis",1965,1
"874","Anthobothrium pulvinatum",1889,NA
"875","Anthobothrium siluri",1915,NA
"876","Anthocephalum alicae",1906,3
"877","Anthocephalum cairae",1988,1
"878","Anthocephalum centrurum",1923,1
"879","Anthocephalum currani",1993,NA
"880","Anthocephalum decristanisorum",2002,NA
"881","Anthocephalum duszynski",1991,3
"882","Anthocephalum healyaen",2003,NA
"883","Anthocephalum jensenae",1999,NA
"884","Anthocephalum lukei",1993,NA
"885","Anthocephalum mattisi",2004,NA
"886","Anthocephalum meadowsi",1999,NA
"887","Anthocephalum michaeli",1993,NA
"888","Anthocephalum odonellae",2003,NA
"889","Anthocephalum papefayi",2004,NA
"890","Anthocotyle americanus",1913,3
"891","Anthocotyle merlucii",1916,NA
"892","Anticoma litaris",1934,NA
"893","Antorchis distans",1925,NA
"894","Antorchis holacanthi",1951,1
"895","Antorchis pseudoechinatus",1911,NA
"896","Antorchis sp.",1923,NA
"897","Antorchis urna",1906,6
"898","Anuracanthocephalus tritaxissentis",1973,NA
"899","Anuracanthorhynchus lutzi",1963,NA
"900","Aonchotheca putorii",1999,11
"901","Aorchis sp.",1926,NA
"902","Aoruroides costaricensis",2003,NA
"903","Aorurus subcloatus",1927,NA
"904","Aototrema dorsogenitalis",1985,NA
"905","Apatemon (Apatemon)",1977,NA
"906","Apatemon burti",1978,NA
"907","Apatemon gracilis",1932,81
"908","Apatemon minor",1957,31
"909","Apatemon sp.",1938,NA
"910","Apatemon sp.i",2009,NA
"911","Apectana itzocanensis",1972,NA
"912","Aphanoblastella aurorae",2009,NA
"913","Aphanoblastella chagresii",2006,NA
"914","Aphanoblastella travassosi",1972,6
"915","Aphanospirorchis kirki",1955,2
"916","Aphanurus stossichii",1962,NA
"917","Apharyngogyliauchen sp.",1992,NA
"918","Apharyngostrigea bilobata",1938,NA
"919","Apharyngostrigea cornu",1856,32
"920","Apharyngostrigea jawensis",1977,NA
"921","Apharyngostrigea magnicauda",2002,NA
"922","Apharyngostrigea multiovata",1978,6
"923","Apharyngostrigea pipientis",1950,5
"924","Apharyngostrigea ramai",1961,5
"925","Apharyngostrigea serpentia",1957,NA
"926","Apharyngostrigea simplex",1957,6
"927","Apharyngostrigea sp.",1929,NA
"928","Apharyngotrema apharyngotrema",1975,NA
"929","Aplectana acuminata",1951,5
"930","Aplectana brumpti",1954,2
"931","Aplectana chamaeleonis",1991,1
"932","Aplectana chamaelonis",2012,NA
"933","Aplectana crossodactyli",2000,2
"934","Aplectana crucifer",1995,1
"935","Aplectana dogieli",1965,NA
"936","Aplectana hamatospicula",1939,9
"937","Aplectana herediaensis",1963,NA
"938","Aplectana hylambatis",1965,8
"939","Aplectana incerta",1937,14
"940","Aplectana itzocanensis",1959,25
"941","Aplectana itzocanesis",1964,NA
"942","Aplectana krausi",2003,NA
"943","Aplectana loveridgei",1926,NA
"944","Aplectana macintoshi",1962,9
"945","Aplectana macintoshii",1999,9
"946","Aplectana membranosa",1993,6
"947","Aplectana mexicana",1939,1
"948","Aplectana novaeguinae",2009,NA
"949","Aplectana novaeguineae",2005,NA
"950","Aplectana pharyngeodentata",1952,NA
"951","Aplectana pusilla",1995,1
"952","Aplectana schneideri",1953,1
"953","Aplectana sp.",1938,NA
"954","Aplectana travassosi",1974,2
"955","Aplectana zweifeli",2002,1
"956","Aplodiscus nasalis",1966,NA
"957","Aploparaksis acanthocirrus",1966,NA
"958","Aploparaksis americanensis",1936,2
"959","Aploparaksis borealis",1966,1
"960","Aploparaksis brachyphallos",1954,1
"961","Aploparaksis bulbocirrus",1955,1
"962","Aploparaksis clavigera",2003,NA
"963","Aploparaksis clavulus",1956,NA
"964","Aploparaksis clerci",1984,4
"965","Aploparaksis crassipenis",1958,NA
"966","Aploparaksis crassirostris",1946,24
"967","Aploparaksis daviesi",1957,1
"968","Aploparaksis demischini",1983,NA
"969","Aploparaksis diagonalis",1957,10
"970","Aploparaksis dujardinii",1949,NA
"971","Aploparaksis elisae",1913,NA
"972","Aploparaksis filum",1987,75
"973","Aploparaksis furcigera",1998,48
"974","Aploparaksis gallinagi",1976,3
"975","Aploparaksis leonovi",1955,6
"976","Aploparaksis occidentalis",1953,5
"977","Aploparaksis parabirulai",2004,NA
"978","Aploparaksis picae",1964,NA
"979","Aploparaksis pseudofilum",1954,16
"980","Aploparaksis retroversa",1959,6
"981","Aploparaksis rissae",1955,14
"982","Aploparaksis schigini",1946,NA
"983","Aploparaksis schilleri",1946,NA
"984","Aploparaksis secessivus",1954,10
"985","Aploparaksis skrjabini",2003,4
"986","Aploparaksis sp.",1980,NA
"987","Aploparaksis spinosus",2004,4
"988","Aploparaksis stricta",1966,1
"989","Aploparaksis variabilis",1918,NA
"990","Aploparaksis veitchi",1982,2
"991","Apoblema excisum",1894,NA
"992","Apoblema rufoviride",1894,NA
"993","Apoblema sp.",1892,NA
"994","Apocreadium balistis",1951,1
"995","Apocreadium cryptum",1968,1
"996","Apocreadium foliatum",1968,9
"997","Apocreadium lamelliforme",1975,NA
"998","Apocreadium manteri",1969,2
"999","Apocreadium mexicanum",1951,4
"1000","Apocreadium sp.",1982,NA
"1001","Apocreadium synagris",1960,1
"1002","Aponurus acanthuri",1959,NA
"1003","Aponurus acropomatis",1985,2
"1004","Aponurus elongatus",1951,NA
"1005","Aponurus intermedius",1934,1
"1006","Aponurus laguncula",1910,26
"1007","Aponurus priacanthi",1964,NA
"1008","Aponurus pyriformis",1971,17
"1009","Aponurus rhinoplagusiae",1985,4
"1010","Aponurus sp.",1932,NA
"1011","Aponurus sphaerolecithus",1924,NA
"1012","Aponurus symmetrorchis",1951,NA
"1013","Apophallus americanus",1931,NA
"1014","Apophallus brevis",1897,15
"1015","Apophallus crami",1929,NA
"1016","Apophallus donicus",1962,1
"1017","Apophallus eccentricus",1935,1
"1018","Apophallus microsoma",2008,NA
"1019","Apophallus muehlingi",1927,61
"1020","Apophallus sp.",1928,NA
"1021","Apophallus venustus",1938,17
"1022","Apophallus zalophi",1926,NA
"1023","Apopodocotyle oscitans",1976,2
"1024","Apora dogieli",1950,NA
"1025","Aporchis continuus",1960,NA
"1026","Aporchis massiliensis",2010,5
"1027","Aporchis rugosus",1912,7
"1028","Aporchis sp.",2007,NA
"1029","Aporhynchus menezesi",2006,NA
"1030","Aporhynchus norvegicus",2006,2
"1031","Aporhynchus pickeringae",2008,NA
"1032","Aporhynchus tasmaniensis",1987,1
"1033","Aporina delafondi",1939,8
"1034","Aporocotyle macfarlani",1967,9
"1035","Aporocotyle margolisi",2016,1
"1036","Aporocotyle pacifica",1963,1
"1037","Aporocotyle simplex",1988,16
"1038","Aporocotyle sp.",1988,NA
"1039","Aporocotyle spinosicanalis",1970,1
"1040","Apororhynchus amphistomi",1948,NA
"1041","Aprocta calliderma",1960,NA
"1042","Aprocta cylindrica",1950,3
"1043","Aprocta laevicutis",1936,NA
"1044","Aprocta lepidogrammi",1959,NA
"1045","Aprocta rotundata",1915,1
"1046","Aprocta sp.",1935,1
"1047","Aprocta travassosi",1937,NA
"1048","Aprocta trugida",1998,NA
"1049","Aproctella stoddardi",1925,16
"1050","Aproctiana sp.",1947,NA
"1051","Aproctoides lissum",1924,NA
"1052","Aprostatandrya octodonensis",1974,1
"1053","Apteragia odocoilei",1981,1
"1054","Apteragia pursglovei",1976,NA
"1055","Aranimermis sp.",1966,NA
"1056","Archaeodiplostomum acetabulatum",1930,1
"1057","Archigetes iowensis",1963,NA
"1058","Arduenna bovis",1919,NA
"1059","Arduenna dentata",1921,NA
"1060","Arduenna strongylina",1885,1
"1061","Areotestis sibi",1963,3
"1062","Arhythmacanthus overstreeti",1975,NA
"1063","Arhythmorhynchus (Southwillina)",1964,NA
"1064","Arhythmorhynchus brevis",1889,19
"1065","Arhythmorhynchus capellae",1961,2
"1066","Arhythmorhynchus comptus",1949,2
"1067","Arhythmorhynchus duocinctus",1934,NA
"1068","Arhythmorhynchus erolide",1986,NA
"1069","Arhythmorhynchus frassoni",1922,5
"1070","Arhythmorhynchus hispidus",1920,NA
"1071","Arhythmorhynchus longicollis",2009,4
"1072","Arhythmorhynchus pulimirostris",1946,NA
"1073","Arhythmorhynchus pumiliorostris",1893,NA
"1074","Arhythmorhynchus sp.",1892,NA
"1075","Ariotaenia procyonis",2006,NA
"1076","Aristocleidus hastatus",1935,NA
"1077","Aristocleidus lamothei",2003,NA
"1078","Armadoskrjabinia rostellata",1911,1
"1079","Arnola microcirrus",1977,1
"1080","Arostellina reticulata",1954,NA
"1081","Arostrilepis beringiensis",1984,NA
"1082","Arostrilepis mariettavogae",1945,NA
"1083","Arostrilepis microtis",1994,NA
"1084","Arthrocephaloides longispiculum",1965,NA
"1085","Arthrocephalus gambiensis",1927,NA
"1086","Arthrocephalus lotoris",1942,2
"1087","Arthrocephalus reconditum",1960,NA
"1088","Arthrocephalus sp.",1947,NA
"1089","Arthrostoma longispiculum",1962,NA
"1090","Arthrostoma sp.",1959,NA
"1091","Arthrostoma vampira",1962,NA
"1092","Artigasia hoehnei",1964,2
"1093","Artionema labiatopapillosa",1959,NA
"1094","Arudenna africana",1929,NA
"1095","Ascaridia aegyptiaca",1960,NA
"1096","Ascaridia anseris",1924,NA
"1097","Ascaridia banasae",1934,NA
"1098","Ascaridia bonasae",1923,1
"1099","Ascaridia clavata",1915,NA
"1100","Ascaridia columbae",1914,14
"1101","Ascaridia compar",1928,37
"1102","Ascaridia dissimilis",1931,5
"1103","Ascaridia fasciata",1979,NA
"1104","Ascaridia francolina",1966,1
"1105","Ascaridia galli",1923,44
"1106","Ascaridia hermaphrodita",1939,6
"1107","Ascaridia inflexa",1961,NA
"1108","Ascaridia japalurae",1960,1
"1109","Ascaridia lineata",1923,10
"1110","Ascaridia numidae",1925,1
"1111","Ascaridia perspicillum",1915,1
"1112","Ascaridia petrensa",1914,NA
"1113","Ascaridia platyceri",1986,NA
"1114","Ascaridia pterophora",1979,1
"1115","Ascaridia sergiomeirai",1929,2
"1116","Ascaridia sp.",1892,NA
"1117","Ascaridia stroma",1930,NA
"1118","Ascaridia styphlocerca",1924,NA
"1119","Ascaridia subaequalis",1926,NA
"1120","Ascaridia trilabium",1945,1
"1121","Ascaridia truncata",1922,NA
"1122","Ascaris anoura",1916,NA
"1123","Ascaris bicolor",1867,NA
"1124","Ascaris canis",1886,NA
"1125","Ascaris capsularia",1882,10
"1126","Ascaris cebi",1919,1
"1127","Ascaris chelapi",1920,NA
"1128","Ascaris chrysemyi",1921,NA
"1129","Ascaris clavata",1883,NA
"1130","Ascaris clupearum",1882,1
"1131","Ascaris columnaris",1905,30
"1132","Ascaris cuspidata",1919,NA
"1133","Ascaris decipiens",1890,1
"1134","Ascaris equorum",1892,11
"1135","Ascaris faranciae",1918,NA
"1136","Ascaris gastrotiplis",1906,NA
"1137","Ascaris habena",1898,6
"1138","Ascaris heroni",1916,NA
"1139","Ascaris holoptera",1883,NA
"1140","Ascaris increscens",1887,NA
"1141","Ascaris incurva",1912,NA
"1142","Ascaris inquies",1899,2
"1143","Ascaris laevis",1949,9
"1144","Ascaris leptoptera",1904,NA
"1145","Ascaris lucii",1920,NA
"1146","Ascaris lumbricoides",1888,27
"1147","Ascaris megalocephala",1889,1
"1148","Ascaris mystax",1892,NA
"1149","Ascaris obsculata",1911,NA
"1150","Ascaris ophiboli",1919,NA
"1151","Ascaris osculata",1896,NA
"1152","Ascaris ovis",1861,2
"1153","Ascaris paucipara",1883,NA
"1154","Ascaris pioni",1918,1
"1155","Ascaris potamochoerus",1910,NA
"1156","Ascaris saginata",1911,NA
"1157","Ascaris salaris",1882,NA
"1158","Ascaris scaphirhynchi",1920,1
"1159","Ascaris schroederi",1939,3
"1160","Ascaris sebastodis",1948,NA
"1161","Ascaris setigera",1890,NA
"1162","Ascaris smeltii",1926,NA
"1163","Ascaris solitaires",1922,NA
"1164","Ascaris sp.",1873,1
"1165","Ascaris spiculigera",1894,NA
"1166","Ascaris spiculigerum",1892,NA
"1167","Ascaris spiralis",1892,NA
"1168","Ascaris stenocephala",1919,NA
"1169","Ascaris strongylina",1971,NA
"1170","Ascaris succisa",1883,2
"1171","Ascaris suilla",1902,1
"1172","Ascaris suis",1906,NA
"1173","Ascaris suum",1892,12
"1174","Ascaris tarbagan",1937,6
"1175","Ascaris tenuicollis",1921,NA
"1176","Ascaris tiara",1916,NA
